Caecus SKU,Linnworks SKU,Item Title,Caecus Barcode,Barcode,Parcel Length,Parcel Width ,Parcel Depth,Parcel Weight(kg),Postage Service,Postage Cost,CBM Per Outer,UK Supplier Cost Price,China Cost Price $,China Cost Price inclusive Duty and carriage £,cost x 4,Ebay BO Retail Price,Ebay BMS Retail Price,Amazon BO Retail Price,Retail Price with carriage at £4.95,Amazon FBA,Amazon B2B,Nett price,Tax,Fees 30%,Shipping 20%,Total Cost,% Profit, Profit,Wayfair Retail Price,EBAY Price Updated,Price Adjustment,EBAY Price Updated,Price Adjustment,Amazon Price Updated,Price Adjustment,Promotion Cost,Parent Image 1,Parent Image 2,Parent Image 3,Other Image,Other Image,Other Image,Other Image,Other Image,Swatch image,Item Features 1,Item Features 2,Item Features 3,Item Features 4,Item Features 5,Item Features 6,Finer Details 1,Finer Details 2,Finer Details 3,Finer Details 4,Finer Details 5,Finer Details 6,Full Description,Ebay BO Title,Ebay BMS Title,Amazon BO Title
026-031,BOCG120,Blackout Roller Blind Charcoal Grey 120cm,5059032277152,5059032121141,133,5.3,5,1.25,DX Secure,5.35,0.039,,6.58 ,5.79,23.17172308,30.99,30.99,30.99,27.99,34.99,27.99,25.83,5.17,9.30,6.20,21.29,17.57%,4.54,9.27,Prices checked and corrected 07/24,,,,,,,https://blindsoutlet.co.uk/wp-content/uploads/2025/05/Dark-Grey-Blackout-scaled.png,,,,,,,,,"Polyester fabric with a 3-pass, colour matched, blackout lining, providing 100% sunlight blocking and thermal properites",Securely fitted to a 25mm strong inner roller tube to provide easy rolling of the fabric. Maximum fabric drop 160cm.  The blind can be easily trimmed with a sharp pair of scissors and a hack saw,Please note: the sizes stated are including our fittings. The size of the actual roller fabric width is approx. 4cm (1 & 1/2 inch) narrower.,Easily fit within minutes and easy to follow instructions along with easy to use pull operation for opening and closing the blind,"Complete with all the fittings, brackets, mounts, and controls. All you need to do is supply a drill",Includes a child safety device that help keep your children safe. Our simple device tensions the pull cord to the wall to keep your children safe,"Metal fitting brackets with plastic covers. Two way fitting so you can have top or face fix, simply choose the appropriate hole in the bracket. Sidewinder operation with child safe tension cord to be fitted at least 1metre off the ground",Metal roller tube with fabric attached by slotting into the indent. Due to tube indent this may not be suitable for use with other fittings. Please use the fittings supplied,Blind width includes fittings so the fabric will be approx 4cm narrower. If you want complete darkness in your room we suggest fittings outside the recess and measuring at least 15cm wider than your window recess. ,You need at least 10cm depth to fit this blind. Please take care when measuring that protruding handles and dado rails will not interfere with the fabric. You can have the fabric rolled over the tube instead of behind to avoid handles.,"Fabric backing is made with a different material composite than the front, so will vary slightly in shade. The fabric has thermal qualities due to it's nature.",Always leave at least one turn on the roller tube to avoid excess strain on the fabric.,"With fabric offering total blocking of sunlight and complete privacy, our stylish, modern, blackout roller blinds allow you to easily achieve this by simply installing them infront of your window. Our lovely polyester fabric allows for a maximum drop of 160cm and is easy to care for whilst adding a warm cosy feel to your room, our 3-pass blackout lining will completely stop all sunlight entering the room whilst also providing thermal properties. These are easy-fit and can be installed within minutes as they come supplied with everything you need. Easily wiped clean with a damp cloth.",,,
026-032,BOCG150,Blackout Roller Blind Charcoal Grey 150cm,5059032277169,5059032121158,163,5.3,5,1.54,DX Secure,5.35,0.048,,8.07 ,7.10,28.41881538,37.99,37.99,37.99,33.99,41.99,34.99,31.66,6.33,11.40,7.60,26.10,17.56%,5.56,11.37,Prices checked and corrected 07/24,,,,,,,https://blindsoutlet.co.uk/wp-content/uploads/2025/05/Dark-Grey-Blackout-scaled.png,,,,,,,,,"Polyester fabric with a 3-pass, colour matched, blackout lining, providing 100% sunlight blocking and thermal properites",Securely fitted to a 25mm strong inner roller tube to provide easy rolling of the fabric. Maximum fabric drop 160cm.  The blind can be easily trimmed with a sharp pair of scissors and a hack saw,Please note: the sizes stated are including our fittings. The size of the actual roller fabric width is approx. 4cm (1 & 1/2 inch) narrower.,Easily fit within minutes and easy to follow instructions along with easy to use pull operation for opening and closing the blind,"Complete with all the fittings, brackets, mounts, and controls. All you need to do is supply a drill",Includes a child safety device that help keep your children safe. Our simple device tensions the pull cord to the wall to keep your children safe,"Metal fitting brackets with plastic covers. Two way fitting so you can have top or face fix, simply choose the appropriate hole in the bracket. Sidewinder operation with child safe tension cord to be fitted at least 1metre off the ground",Metal roller tube with fabric attached by slotting into the indent. Due to tube indent this may not be suitable for use with other fittings. Please use the fittings supplied,Blind width includes fittings so the fabric will be approx 4cm narrower. If you want complete darkness in your room we suggest fittings outside the recess and measuring at least 15cm wider than your window recess. ,You need at least 10cm depth to fit this blind. Please take care when measuring that protruding handles and dado rails will not interfere with the fabric. You can have the fabric rolled over the tube instead of behind to avoid handles.,"Fabric backing is made with a different material composite than the front, so will vary slightly in shade. The fabric has thermal qualities due to it's nature.",Always leave at least one turn on the roller tube to avoid excess strain on the fabric.,"With fabric offering total blocking of sunlight and complete privacy, our stylish, modern, blackout roller blinds allow you to easily achieve this by simply installing them infront of your window. Our lovely polyester fabric allows for a maximum drop of 160cm and is easy to care for whilst adding a warm cosy feel to your room, our 3-pass blackout lining will completely stop all sunlight entering the room whilst also providing thermal properties. These are easy-fit and can be installed within minutes as they come supplied with everything you need. Easily wiped clean with a damp cloth.",,,
026-033,BOCG180,Blackout Roller Blind Charcoal Grey 180cm,5059032277176,5059032121165,193,5.3,5,1.95,DX Secure,5.35,0.057,,9.56 ,8.42,33.66590769,42.99,42.99,42.99,37.99,49.99,42.99,35.83,7.17,12.90,8.60,29.91,16.51%,5.91,13.47,Prices checked and corrected 07/24,,,,,,,https://blindsoutlet.co.uk/wp-content/uploads/2025/05/Dark-Grey-Blackout-scaled.png,,,,,,,,,"Polyester fabric with a 3-pass, colour matched, blackout lining, providing 100% sunlight blocking and thermal properites",Securely fitted to a 25mm strong inner roller tube to provide easy rolling of the fabric. Maximum fabric drop 160cm.  The blind can be easily trimmed with a sharp pair of scissors and a hack saw,Please note: the sizes stated are including our fittings. The size of the actual roller fabric width is approx. 4cm (1 & 1/2 inch) narrower.,Easily fit within minutes and easy to follow instructions along with easy to use pull operation for opening and closing the blind,"Complete with all the fittings, brackets, mounts, and controls. All you need to do is supply a drill",Includes a child safety device that help keep your children safe. Our simple device tensions the pull cord to the wall to keep your children safe,"Metal fitting brackets with plastic covers. Two way fitting so you can have top or face fix, simply choose the appropriate hole in the bracket. Sidewinder operation with child safe tension cord to be fitted at least 1metre off the ground",Metal roller tube with fabric attached by slotting into the indent. Due to tube indent this may not be suitable for use with other fittings. Please use the fittings supplied,Blind width includes fittings so the fabric will be approx 4cm narrower. If you want complete darkness in your room we suggest fittings outside the recess and measuring at least 15cm wider than your window recess. ,You need at least 10cm depth to fit this blind. Please take care when measuring that protruding handles and dado rails will not interfere with the fabric. You can have the fabric rolled over the tube instead of behind to avoid handles.,"Fabric backing is made with a different material composite than the front, so will vary slightly in shade. The fabric has thermal qualities due to it's nature.",Always leave at least one turn on the roller tube to avoid excess strain on the fabric.,"With fabric offering total blocking of sunlight and complete privacy, our stylish, modern, blackout roller blinds allow you to easily achieve this by simply installing them infront of your window. Our lovely polyester fabric allows for a maximum drop of 160cm and is easy to care for whilst adding a warm cosy feel to your room, our 3-pass blackout lining will completely stop all sunlight entering the room whilst also providing thermal properties. These are easy-fit and can be installed within minutes as they come supplied with everything you need. Easily wiped clean with a damp cloth.",,,
026-034,BOCG210,Blackout Roller Blind Charcoal Grey 210cm,5059032277183,5059032121172,223,5.3,5,2.4,DX Freight,11.01,0.034,,11.17 ,9.83,39.33558462,47.99,47.99,47.99,41.99,59.99,51.99,39.99,8.00,14.40,9.60,33.83,15.41%,6.16,15.73,Prices checked and corrected 07/24,,,,,,,https://blindsoutlet.co.uk/wp-content/uploads/2025/05/Dark-Grey-Blackout-scaled.png,,,,,,,,,"Polyester fabric with a 3-pass, colour matched, blackout lining, providing 100% sunlight blocking and thermal properites",Securely fitted to a 25mm strong inner roller tube to provide easy rolling of the fabric. Maximum fabric drop 160cm.  The blind can be easily trimmed with a sharp pair of scissors and a hack saw,Please note: the sizes stated are including our fittings. The size of the actual roller fabric width is approx. 4cm (1 & 1/2 inch) narrower.,Easily fit within minutes and easy to follow instructions along with easy to use pull operation for opening and closing the blind,"Complete with all the fittings, brackets, mounts, and controls. All you need to do is supply a drill",Includes a child safety device that help keep your children safe. Our simple device tensions the pull cord to the wall to keep your children safe,"Metal fitting brackets with plastic covers. Two way fitting so you can have top or face fix, simply choose the appropriate hole in the bracket. Sidewinder operation with child safe tension cord to be fitted at least 1metre off the ground",Metal roller tube with fabric attached by slotting into the indent. Due to tube indent this may not be suitable for use with other fittings. Please use the fittings supplied,Blind width includes fittings so the fabric will be approx 4cm narrower. If you want complete darkness in your room we suggest fittings outside the recess and measuring at least 15cm wider than your window recess. ,You need at least 10cm depth to fit this blind. Please take care when measuring that protruding handles and dado rails will not interfere with the fabric. You can have the fabric rolled over the tube instead of behind to avoid handles.,"Fabric backing is made with a different material composite than the front, so will vary slightly in shade. The fabric has thermal qualities due to it's nature.",Always leave at least one turn on the roller tube to avoid excess strain on the fabric.,"With fabric offering total blocking of sunlight and complete privacy, our stylish, modern, blackout roller blinds allow you to easily achieve this by simply installing them infront of your window. Our lovely polyester fabric allows for a maximum drop of 160cm and is easy to care for whilst adding a warm cosy feel to your room, our 3-pass blackout lining will completely stop all sunlight entering the room whilst also providing thermal properties. These are easy-fit and can be installed within minutes as they come supplied with everything you need. Easily wiped clean with a damp cloth.",,,
026-035,BOCG240,Blackout Roller Blind Charcoal Grey 240cm,5059032277190,5059032121189,253,5.3,5,2.7,DX Freight,11.01,0.039,,12.57 ,11.07,44.26573846,53.99,53.99,54.99,47.99,69.99,61.99,45.83,9.17,16.50,11.00,38.56,15.85%,7.26,17.71,Prices checked and corrected 07/24,,,,,,,https://blindsoutlet.co.uk/wp-content/uploads/2025/05/Dark-Grey-Blackout-scaled.png,,,,,,,,,"Polyester fabric with a 3-pass, colour matched, blackout lining, providing 100% sunlight blocking and thermal properites",Securely fitted to a 25mm strong inner roller tube to provide easy rolling of the fabric. Maximum fabric drop 160cm.  The blind can be easily trimmed with a sharp pair of scissors and a hack saw,Please note: the sizes stated are including our fittings. The size of the actual roller fabric width is approx. 4cm (1 & 1/2 inch) narrower.,Easily fit within minutes and easy to follow instructions along with easy to use pull operation for opening and closing the blind,"Complete with all the fittings, brackets, mounts, and controls. All you need to do is supply a drill",Includes a child safety device that help keep your children safe. Our simple device tensions the pull cord to the wall to keep your children safe,"Metal fitting brackets with plastic covers. Two way fitting so you can have top or face fix, simply choose the appropriate hole in the bracket. Sidewinder operation with child safe tension cord to be fitted at least 1metre off the ground",Metal roller tube with fabric attached by slotting into the indent. Due to tube indent this may not be suitable for use with other fittings. Please use the fittings supplied,Blind width includes fittings so the fabric will be approx 4cm narrower. If you want complete darkness in your room we suggest fittings outside the recess and measuring at least 15cm wider than your window recess. ,You need at least 10cm depth to fit this blind. Please take care when measuring that protruding handles and dado rails will not interfere with the fabric. You can have the fabric rolled over the tube instead of behind to avoid handles.,"Fabric backing is made with a different material composite than the front, so will vary slightly in shade. The fabric has thermal qualities due to it's nature.",Always leave at least one turn on the roller tube to avoid excess strain on the fabric.,"With fabric offering total blocking of sunlight and complete privacy, our stylish, modern, blackout roller blinds allow you to easily achieve this by simply installing them infront of your window. Our lovely polyester fabric allows for a maximum drop of 160cm and is easy to care for whilst adding a warm cosy feel to your room, our 3-pass blackout lining will completely stop all sunlight entering the room whilst also providing thermal properties. These are easy-fit and can be installed within minutes as they come supplied with everything you need. Easily wiped clean with a damp cloth.",,,
026-036,BOEB060,Blackout Roller Blind Electric Blue 60cm,5059032277206,5059032121196,73,5.3,5,0.71,DX Secure,5.35,0.022,,3.66 ,3.22,12.88883077,16.99,16.99,16.99,15.99,20.99,15.99,14.16,2.83,5.10,3.40,11.72,17.24%,2.44,5.16,Prices checked and corrected 07/24,,,,,,,https://blindsoutlet.co.uk/wp-content/uploads/2025/05/Electric-Blue-Blackout-scaled.png,,,,,,,,,"Polyester fabric with a 3-pass, colour matched, blackout lining, providing 100% sunlight blocking and thermal properites",Securely fitted to a 25mm strong inner roller tube to provide easy rolling of the fabric. Maximum fabric drop 160cm.  The blind can be easily trimmed with a sharp pair of scissors and a hack saw,Please note: the sizes stated are including our fittings. The size of the actual roller fabric width is approx. 4cm (1 & 1/2 inch) narrower.,Easily fit within minutes and easy to follow instructions along with easy to use pull operation for opening and closing the blind,"Complete with all the fittings, brackets, mounts, and controls. All you need to do is supply a drill",Includes a child safety device that help keep your children safe. Our simple device tensions the pull cord to the wall to keep your children safe,"Metal fitting brackets with plastic covers. Two way fitting so you can have top or face fix, simply choose the appropriate hole in the bracket. Sidewinder operation with child safe tension cord to be fitted at least 1metre off the ground",Metal roller tube with fabric attached by slotting into the indent. Due to tube indent this may not be suitable for use with other fittings. Please use the fittings supplied,Blind width includes fittings so the fabric will be approx 4cm narrower. If you want complete darkness in your room we suggest fittings outside the recess and measuring at least 15cm wider than your window recess. ,You need at least 10cm depth to fit this blind. Please take care when measuring that protruding handles and dado rails will not interfere with the fabric. You can have the fabric rolled over the tube instead of behind to avoid handles.,"Fabric backing is made with a different material composite than the front, so will vary slightly in shade. The fabric has thermal qualities due to it's nature.",Always leave at least one turn on the roller tube to avoid excess strain on the fabric.,"With fabric offering total blocking of sunlight and complete privacy, our stylish, modern, blackout roller blinds allow you to easily achieve this by simply installing them infront of your window. Our lovely polyester fabric allows for a maximum drop of 160cm and is easy to care for whilst adding a warm cosy feel to your room, our 3-pass blackout lining will completely stop all sunlight entering the room whilst also providing thermal properties. These are easy-fit and can be installed within minutes as they come supplied with everything you need. Easily wiped clean with a damp cloth.",,,
026-037,BOEB090,Blackout Roller Blind Electric Blue 90cm,5059032277213,5059032121202,103,5.3,5,0.97,DX Secure,5.35,0.031,,5.17 ,4.55,18.20635385,23.99,23.99,23.99,21.99,27.99,21.99,19.99,4.00,7.20,4.80,16.55,17.23%,3.45,7.28,Prices checked and corrected 07/24,,,,,,,https://blindsoutlet.co.uk/wp-content/uploads/2025/05/Electric-Blue-Blackout-scaled.png,,,,,,,,,"Polyester fabric with a 3-pass, colour matched, blackout lining, providing 100% sunlight blocking and thermal properites",Securely fitted to a 25mm strong inner roller tube to provide easy rolling of the fabric. Maximum fabric drop 160cm.  The blind can be easily trimmed with a sharp pair of scissors and a hack saw,Please note: the sizes stated are including our fittings. The size of the actual roller fabric width is approx. 4cm (1 & 1/2 inch) narrower.,Easily fit within minutes and easy to follow instructions along with easy to use pull operation for opening and closing the blind,"Complete with all the fittings, brackets, mounts, and controls. All you need to do is supply a drill",Includes a child safety device that help keep your children safe. Our simple device tensions the pull cord to the wall to keep your children safe,"Metal fitting brackets with plastic covers. Two way fitting so you can have top or face fix, simply choose the appropriate hole in the bracket. Sidewinder operation with child safe tension cord to be fitted at least 1metre off the ground",Metal roller tube with fabric attached by slotting into the indent. Due to tube indent this may not be suitable for use with other fittings. Please use the fittings supplied,Blind width includes fittings so the fabric will be approx 4cm narrower. If you want complete darkness in your room we suggest fittings outside the recess and measuring at least 15cm wider than your window recess. ,You need at least 10cm depth to fit this blind. Please take care when measuring that protruding handles and dado rails will not interfere with the fabric. You can have the fabric rolled over the tube instead of behind to avoid handles.,"Fabric backing is made with a different material composite than the front, so will vary slightly in shade. The fabric has thermal qualities due to it's nature.",Always leave at least one turn on the roller tube to avoid excess strain on the fabric.,"With fabric offering total blocking of sunlight and complete privacy, our stylish, modern, blackout roller blinds allow you to easily achieve this by simply installing them infront of your window. Our lovely polyester fabric allows for a maximum drop of 160cm and is easy to care for whilst adding a warm cosy feel to your room, our 3-pass blackout lining will completely stop all sunlight entering the room whilst also providing thermal properties. These are easy-fit and can be installed within minutes as they come supplied with everything you need. Easily wiped clean with a damp cloth.",,,
026-038,BOEB120,Blackout Roller Blind Electric Blue 120cm,5059032277220,5059032121219,133,5.3,5,1.25,DX Secure,5.35,0.039,,6.58 ,5.79,23.17172308,30.99,30.99,30.99,27.99,34.99,27.99,25.83,5.17,9.30,6.20,21.29,17.57%,4.54,9.27,Prices checked and corrected 07/24,,,,,,,https://blindsoutlet.co.uk/wp-content/uploads/2025/05/Electric-Blue-Blackout-scaled.png,,,,,,,,,"Polyester fabric with a 3-pass, colour matched, blackout lining, providing 100% sunlight blocking and thermal properites",Securely fitted to a 25mm strong inner roller tube to provide easy rolling of the fabric. Maximum fabric drop 160cm.  The blind can be easily trimmed with a sharp pair of scissors and a hack saw,Please note: the sizes stated are including our fittings. The size of the actual roller fabric width is approx. 4cm (1 & 1/2 inch) narrower.,Easily fit within minutes and easy to follow instructions along with easy to use pull operation for opening and closing the blind,"Complete with all the fittings, brackets, mounts, and controls. All you need to do is supply a drill",Includes a child safety device that help keep your children safe. Our simple device tensions the pull cord to the wall to keep your children safe,"Metal fitting brackets with plastic covers. Two way fitting so you can have top or face fix, simply choose the appropriate hole in the bracket. Sidewinder operation with child safe tension cord to be fitted at least 1metre off the ground",Metal roller tube with fabric attached by slotting into the indent. Due to tube indent this may not be suitable for use with other fittings. Please use the fittings supplied,Blind width includes fittings so the fabric will be approx 4cm narrower. If you want complete darkness in your room we suggest fittings outside the recess and measuring at least 15cm wider than your window recess. ,You need at least 10cm depth to fit this blind. Please take care when measuring that protruding handles and dado rails will not interfere with the fabric. You can have the fabric rolled over the tube instead of behind to avoid handles.,"Fabric backing is made with a different material composite than the front, so will vary slightly in shade. The fabric has thermal qualities due to it's nature.",Always leave at least one turn on the roller tube to avoid excess strain on the fabric.,"With fabric offering total blocking of sunlight and complete privacy, our stylish, modern, blackout roller blinds allow you to easily achieve this by simply installing them infront of your window. Our lovely polyester fabric allows for a maximum drop of 160cm and is easy to care for whilst adding a warm cosy feel to your room, our 3-pass blackout lining will completely stop all sunlight entering the room whilst also providing thermal properties. These are easy-fit and can be installed within minutes as they come supplied with everything you need. Easily wiped clean with a damp cloth.",,,
026-039,BOEB150,Blackout Roller Blind Electric Blue 150cm,5059032277237,5059032121226,163,5.3,5,1.54,DX Secure,5.35,0.048,,8.07 ,7.10,28.41881538,37.99,37.99,37.99,33.99,41.99,34.99,31.66,6.33,11.40,7.60,26.10,17.56%,5.56,11.37,Prices checked and corrected 07/24,,,,,,,https://blindsoutlet.co.uk/wp-content/uploads/2025/05/Electric-Blue-Blackout-scaled.png,,,,,,,,,"Polyester fabric with a 3-pass, colour matched, blackout lining, providing 100% sunlight blocking and thermal properites",Securely fitted to a 25mm strong inner roller tube to provide easy rolling of the fabric. Maximum fabric drop 160cm.  The blind can be easily trimmed with a sharp pair of scissors and a hack saw,Please note: the sizes stated are including our fittings. The size of the actual roller fabric width is approx. 4cm (1 & 1/2 inch) narrower.,Easily fit within minutes and easy to follow instructions along with easy to use pull operation for opening and closing the blind,"Complete with all the fittings, brackets, mounts, and controls. All you need to do is supply a drill",Includes a child safety device that help keep your children safe. Our simple device tensions the pull cord to the wall to keep your children safe,"Metal fitting brackets with plastic covers. Two way fitting so you can have top or face fix, simply choose the appropriate hole in the bracket. Sidewinder operation with child safe tension cord to be fitted at least 1metre off the ground",Metal roller tube with fabric attached by slotting into the indent. Due to tube indent this may not be suitable for use with other fittings. Please use the fittings supplied,Blind width includes fittings so the fabric will be approx 4cm narrower. If you want complete darkness in your room we suggest fittings outside the recess and measuring at least 15cm wider than your window recess. ,You need at least 10cm depth to fit this blind. Please take care when measuring that protruding handles and dado rails will not interfere with the fabric. You can have the fabric rolled over the tube instead of behind to avoid handles.,"Fabric backing is made with a different material composite than the front, so will vary slightly in shade. The fabric has thermal qualities due to it's nature.",Always leave at least one turn on the roller tube to avoid excess strain on the fabric.,"With fabric offering total blocking of sunlight and complete privacy, our stylish, modern, blackout roller blinds allow you to easily achieve this by simply installing them infront of your window. Our lovely polyester fabric allows for a maximum drop of 160cm and is easy to care for whilst adding a warm cosy feel to your room, our 3-pass blackout lining will completely stop all sunlight entering the room whilst also providing thermal properties. These are easy-fit and can be installed within minutes as they come supplied with everything you need. Easily wiped clean with a damp cloth.",,,
026-040,BOEB180,Blackout Roller Blind Electric Blue 180cm,5059032277244,5059032121233,193,5.3,5,1.95,DX Secure,5.35,0.057,,9.56 ,8.42,33.66590769,42.99,42.99,42.99,37.99,49.99,42.99,35.83,7.17,12.90,8.60,29.91,16.51%,5.91,13.47,Prices checked and corrected 07/24,,,,,,,https://blindsoutlet.co.uk/wp-content/uploads/2025/05/Electric-Blue-Blackout-scaled.png,,,,,,,,,"Polyester fabric with a 3-pass, colour matched, blackout lining, providing 100% sunlight blocking and thermal properites",Securely fitted to a 25mm strong inner roller tube to provide easy rolling of the fabric. Maximum fabric drop 160cm.  The blind can be easily trimmed with a sharp pair of scissors and a hack saw,Please note: the sizes stated are including our fittings. The size of the actual roller fabric width is approx. 4cm (1 & 1/2 inch) narrower.,Easily fit within minutes and easy to follow instructions along with easy to use pull operation for opening and closing the blind,"Complete with all the fittings, brackets, mounts, and controls. All you need to do is supply a drill",Includes a child safety device that help keep your children safe. Our simple device tensions the pull cord to the wall to keep your children safe,"Metal fitting brackets with plastic covers. Two way fitting so you can have top or face fix, simply choose the appropriate hole in the bracket. Sidewinder operation with child safe tension cord to be fitted at least 1metre off the ground",Metal roller tube with fabric attached by slotting into the indent. Due to tube indent this may not be suitable for use with other fittings. Please use the fittings supplied,Blind width includes fittings so the fabric will be approx 4cm narrower. If you want complete darkness in your room we suggest fittings outside the recess and measuring at least 15cm wider than your window recess. ,You need at least 10cm depth to fit this blind. Please take care when measuring that protruding handles and dado rails will not interfere with the fabric. You can have the fabric rolled over the tube instead of behind to avoid handles.,"Fabric backing is made with a different material composite than the front, so will vary slightly in shade. The fabric has thermal qualities due to it's nature.",Always leave at least one turn on the roller tube to avoid excess strain on the fabric.,"With fabric offering total blocking of sunlight and complete privacy, our stylish, modern, blackout roller blinds allow you to easily achieve this by simply installing them infront of your window. Our lovely polyester fabric allows for a maximum drop of 160cm and is easy to care for whilst adding a warm cosy feel to your room, our 3-pass blackout lining will completely stop all sunlight entering the room whilst also providing thermal properties. These are easy-fit and can be installed within minutes as they come supplied with everything you need. Easily wiped clean with a damp cloth.",,,
026-041,BOEB210,Blackout Roller Blind Electric Blue 210cm,5059032277251,5059032121240,223,5.3,5,2.4,DX Freight,11.01,0.034,,11.17 ,9.83,39.33558462,47.99,47.99,47.99,41.99,59.99,51.99,39.99,8.00,14.40,9.60,33.83,15.41%,6.16,15.73,Prices checked and corrected 07/24,,,,,,,https://blindsoutlet.co.uk/wp-content/uploads/2025/05/Electric-Blue-Blackout-scaled.png,,,,,,,,,"Polyester fabric with a 3-pass, colour matched, blackout lining, providing 100% sunlight blocking and thermal properites",Securely fitted to a 25mm strong inner roller tube to provide easy rolling of the fabric. Maximum fabric drop 160cm.  The blind can be easily trimmed with a sharp pair of scissors and a hack saw,Please note: the sizes stated are including our fittings. The size of the actual roller fabric width is approx. 4cm (1 & 1/2 inch) narrower.,Easily fit within minutes and easy to follow instructions along with easy to use pull operation for opening and closing the blind,"Complete with all the fittings, brackets, mounts, and controls. All you need to do is supply a drill",Includes a child safety device that help keep your children safe. Our simple device tensions the pull cord to the wall to keep your children safe,"Metal fitting brackets with plastic covers. Two way fitting so you can have top or face fix, simply choose the appropriate hole in the bracket. Sidewinder operation with child safe tension cord to be fitted at least 1metre off the ground",Metal roller tube with fabric attached by slotting into the indent. Due to tube indent this may not be suitable for use with other fittings. Please use the fittings supplied,Blind width includes fittings so the fabric will be approx 4cm narrower. If you want complete darkness in your room we suggest fittings outside the recess and measuring at least 15cm wider than your window recess. ,You need at least 10cm depth to fit this blind. Please take care when measuring that protruding handles and dado rails will not interfere with the fabric. You can have the fabric rolled over the tube instead of behind to avoid handles.,"Fabric backing is made with a different material composite than the front, so will vary slightly in shade. The fabric has thermal qualities due to it's nature.",Always leave at least one turn on the roller tube to avoid excess strain on the fabric.,"With fabric offering total blocking of sunlight and complete privacy, our stylish, modern, blackout roller blinds allow you to easily achieve this by simply installing them infront of your window. Our lovely polyester fabric allows for a maximum drop of 160cm and is easy to care for whilst adding a warm cosy feel to your room, our 3-pass blackout lining will completely stop all sunlight entering the room whilst also providing thermal properties. These are easy-fit and can be installed within minutes as they come supplied with everything you need. Easily wiped clean with a damp cloth.",,,
026-042,BOEB240,Blackout Roller Blind Electric Blue 240cm,5059032277268,5059032121257,253,5.3,5,2.7,DX Freight,11.01,0.039,,12.57 ,11.07,44.26573846,53.99,53.99,54.99,47.99,69.99,61.99,45.83,9.17,16.50,11.00,38.56,15.85%,7.26,17.71,Prices checked and corrected 07/24,,,,,,,https://blindsoutlet.co.uk/wp-content/uploads/2025/05/Electric-Blue-Blackout-scaled.png,,,,,,,,,"Polyester fabric with a 3-pass, colour matched, blackout lining, providing 100% sunlight blocking and thermal properites",Securely fitted to a 25mm strong inner roller tube to provide easy rolling of the fabric. Maximum fabric drop 160cm.  The blind can be easily trimmed with a sharp pair of scissors and a hack saw,Please note: the sizes stated are including our fittings. The size of the actual roller fabric width is approx. 4cm (1 & 1/2 inch) narrower.,Easily fit within minutes and easy to follow instructions along with easy to use pull operation for opening and closing the blind,"Complete with all the fittings, brackets, mounts, and controls. All you need to do is supply a drill",Includes a child safety device that help keep your children safe. Our simple device tensions the pull cord to the wall to keep your children safe,"Metal fitting brackets with plastic covers. Two way fitting so you can have top or face fix, simply choose the appropriate hole in the bracket. Sidewinder operation with child safe tension cord to be fitted at least 1metre off the ground",Metal roller tube with fabric attached by slotting into the indent. Due to tube indent this may not be suitable for use with other fittings. Please use the fittings supplied,Blind width includes fittings so the fabric will be approx 4cm narrower. If you want complete darkness in your room we suggest fittings outside the recess and measuring at least 15cm wider than your window recess. ,You need at least 10cm depth to fit this blind. Please take care when measuring that protruding handles and dado rails will not interfere with the fabric. You can have the fabric rolled over the tube instead of behind to avoid handles.,"Fabric backing is made with a different material composite than the front, so will vary slightly in shade. The fabric has thermal qualities due to it's nature.",Always leave at least one turn on the roller tube to avoid excess strain on the fabric.,"With fabric offering total blocking of sunlight and complete privacy, our stylish, modern, blackout roller blinds allow you to easily achieve this by simply installing them infront of your window. Our lovely polyester fabric allows for a maximum drop of 160cm and is easy to care for whilst adding a warm cosy feel to your room, our 3-pass blackout lining will completely stop all sunlight entering the room whilst also providing thermal properties. These are easy-fit and can be installed within minutes as they come supplied with everything you need. Easily wiped clean with a damp cloth.",,,
